fecha_apertura,residencia_provincia_nombre,residencia_provincia_id,cantidad
2020-04-29,Corrientes,18,2
2020-04-29,Entre Ríos,30,2
2020-04-29,Jujuy,38,2
2020-04-29,La Rioja,46,9
2020-04-29,Mendoza,50,2
2020-04-29,Misiones,54,4
2020-04-29,Neuquén,58,3
2020-04-29,Río Negro,62,10
2020-04-29,San Juan,70,1
2020-04-29,Santa Fe,82,1
2020-04-29,Tierra del Fuego,94,2
2020-04-29,Tucumán,90,1
2020-04-30,Buenos Aires,06,112
2020-04-30,CABA,02,51
2020-04-30,Chaco,22,15
2020-04-30,Chubut,26,1
2020-04-30,Corrientes,18,1
2020-04-30,Córdoba,14,7
2020-04-30,Jujuy,38,1
2020-04-30,La Rioja,46,12
2020-04-30,Mendoza,50,6
2020-04-30,Misiones,54,5
2020-04-30,Río Negro,62,4
2020-04-30,SIN ESPECIFICAR,99,1
2020-04-30,San Luis,74,1
2020-04-30,Santa Fe,82,2
2020-04-30,Tierra del Fuego,94,3
2020-04-30,Tucumán,90,1
2020-05-01,Buenos Aires,06,43
2020-05-01,CABA,02,55
2020-05-01,Chaco,22,3
2020-05-01,Chubut,26,1
2020-05-01,Córdoba,14,14
2020-05-01,Entre Ríos,30,1
2020-05-01,Formosa,34,1
2020-05-01,Jujuy,38,1
2020-05-01,La Rioja,46,9
2020-05-01,Misiones,54,7
2020-05-01,Neuquén,58,1
2020-05-01,Río Negro,62,15
2020-05-01,Santa Fe,82,1
2020-05-01,Tierra del Fuego,94,2
2020-05-02,Buenos Aires,06,67
2020-05-02,CABA,02,51
2020-05-02,Chaco,22,9
2020-05-02,Córdoba,14,16
2020-05-02,Entre Ríos,30,1
2020-05-02,Jujuy,38,1
2020-05-02,La Rioja,46,1
2020-05-02,Mendoza,50,1
2020-05-02,Neuquén,58,1
2020-05-02,Río Negro,62,9
2020-05-02,SIN ESPECIFICAR,99,1
2020-05-02,Santa Fe,82,2
2020-05-02,Tierra del Fuego,94,5
2020-05-03,Buenos Aires,06,41
2020-05-03,CABA,02,44
2020-05-03,Chaco,22,11
2020-05-03,Córdoba,14,3
2020-05-03,Entre Ríos,30,2
2020-05-03,Jujuy,38,1
2020-05-03,La Rioja,46,4
2020-05-03,Mendoza,50,1
2020-05-03,Misiones,54,1
2020-05-03,Río Negro,62,4
2020-05-03,San Juan,70,2
2020-05-03,Santa Fe,82,2
2020-05-03,Tierra del Fuego,94,2
2020-05-03,Tucumán,90,3
2020-05-04,Buenos Aires,06,89
2020-05-04,CABA,02,72
2020-05-04,Chaco,22,6
2020-05-04,Corrientes,18,2
2020-05-04,Córdoba,14,7
2020-05-04,Jujuy,38,1
2020-05-04,La Pampa,42,1
2020-05-04,Mendoza,50,2
2020-05-04,Río Negro,62,7
2020-05-04,SIN ESPECIFICAR,99,1
2020-05-04,Santa Fe,82,3
2020-05-04,Santiago del Estero,86,1
2020-05-04,Tierra del Fuego,94,1
2020-05-04,Tucumán,90,2
2020-05-05,Buenos Aires,06,82
2020-05-05,CABA,02,105
2020-05-05,Chaco,22,11
2020-05-05,Córdoba,14,6
2020-05-05,Entre Ríos,30,1
2020-05-05,Jujuy,38,2
2020-05-05,La Rioja,46,4
2020-05-05,Mendoza,50,3
2020-05-05,Río Negro,62,6
2020-05-05,SIN ESPECIFICAR,99,5
2020-05-05,Tierra del Fuego,94,2
2020-05-05,Tucumán,90,2
2020-05-06,Buenos Aires,06,113
2020-05-06,CABA,02,109
2020-05-06,Chaco,22,34
2020-05-06,Corrientes,18,5
2020-05-06,Córdoba,14,10
2020-05-06,Jujuy,38,1
2020-05-06,La Rioja,46,5
2020-05-06,Mendoza,50,1
2020-05-06,Río Negro,62,5
2020-05-06,SIN ESPECIFICAR,99,6
2020-05-06,Salta,66,1
2020-05-06,San Juan,70,1
2020-05-06,Santa Fe,82,3
2020-05-06,Tucumán,90,1
2020-05-07,Buenos Aires,06,115
2020-05-07,CABA,02,164
2020-05-07,Chaco,22,24
2020-05-07,Corrientes,18,3
2020-05-07,Córdoba,14,11
2020-05-07,La Rioja,46,5
2020-05-07,Río Negro,62,5
2020-05-07,SIN ESPECIFICAR,99,1
2020-05-07,Santa Fe,82,1
2020-05-07,Tierra del Fuego,94,2
2020-05-07,Tucumán,90,1
2020-05-08,Buenos Aires,06,100
2020-05-08,CABA,02,142
2020-05-08,Chaco,22,29
2020-05-08,Corrientes,18,1
2020-05-08,Córdoba,14,6
2020-05-08,Entre Ríos,30,1
2020-05-08,La Rioja,46,4
2020-05-08,Misiones,54,1
2020-05-08,Río Negro,62,3
2020-05-08,SIN ESPECIFICAR,99,2
2020-05-08,San Juan,70,1
2020-05-08,Santa Fe,82,1
2020-05-08,Tierra del Fuego,94,1
2020-05-08,Tucumán,90,3
2020-05-09,Buenos Aires,06,62
2020-05-09,CABA,02,134
2020-05-09,Catamarca,10,1
2020-05-09,Chaco,22,14
2020-05-09,Corrientes,18,6
2020-05-09,Córdoba,14,10
2020-05-09,Jujuy,38,4
2020-05-09,La Rioja,46,24
2020-05-09,Mendoza,50,5
2020-05-09,Neuquén,58,2
2020-05-09,Río Negro,62,3
2020-05-09,SIN ESPECIFICAR,99,1
2020-05-09,Salta,66,1
2020-05-09,Santa Fe,82,3
2020-05-09,Santiago del Estero,86,1
2020-05-09,Tucumán,90,2
2020-05-10,Buenos Aires,06,56
2020-05-10,CABA,02,195
2020-05-10,Chaco,22,9
2020-05-10,Corrientes,18,1
2020-05-10,Córdoba,14,5
2020-05-10,Río Negro,62,1
2020-05-10,SIN ESPECIFICAR,99,1
2020-05-10,Tucumán,90,2
2020-05-11,Buenos Aires,06,140
2020-05-11,CABA,02,141
2020-05-11,Chaco,22,18
2020-05-11,Chubut,26,1
