fecha_apertura;residencia_provincia_nombre;residencia_provincia_id;cantidad
26/4/2020;Jujuy;38;1
26/4/2020;La Rioja;46;2
26/4/2020;Mendoza;50;1
26/4/2020;Neuquén;58;3
26/4/2020;Río Negro;62;3
26/4/2020;Salta;66;1
26/4/2020;Santa Cruz;78;1
26/4/2020;Santiago del Estero;86;2
26/4/2020;Tierra del Fuego;94;3
26/4/2020;Tucumán;90;1
27/4/2020;Buenos Aires;6;109
27/4/2020;CABA;2;67
27/4/2020;Chaco;22;3
27/4/2020;Corrientes;18;1
27/4/2020;Córdoba;14;4
27/4/2020;Entre Ríos;30;1
27/4/2020;Jujuy;38;1
27/4/2020;La Rioja;46;3
27/4/2020;Mendoza;50;1
27/4/2020;Misiones;54;2
27/4/2020;Neuquén;58;2
27/4/2020;Río Negro;62;9
27/4/2020;SIN ESPECIFICAR;99;1
27/4/2020;Santa Cruz;78;2
27/4/2020;Santa Fe;82;2
27/4/2020;Tierra del Fuego;94;7
27/4/2020;Tucumán;90;3
28/4/2020;Buenos Aires;6;110
28/4/2020;CABA;2;47
28/4/2020;Catamarca;10;1
28/4/2020;Chaco;22;1
28/4/2020;Corrientes;18;3
28/4/2020;Córdoba;14;4
28/4/2020;La Rioja;46;1
28/4/2020;Mendoza;50;1
28/4/2020;Neuquén;58;1
28/4/2020;Río Negro;62;24
28/4/2020;Santa Fe;82;1
28/4/2020;Tucumán;90;2
29/4/2020;Buenos Aires;6;89
29/4/2020;CABA;2;59
29/4/2020;Chaco;22;7
29/4/2020;Corrientes;18;2
29/4/2020;Entre Ríos;30;2
29/4/2020;Jujuy;38;2
29/4/2020;La Rioja;46;9
29/4/2020;Mendoza;50;2
29/4/2020;Misiones;54;4
29/4/2020;Neuquén;58;3
29/4/2020;Río Negro;62;10
29/4/2020;San Juan;70;1
29/4/2020;Santa Fe;82;1
29/4/2020;Tierra del Fuego;94;2
29/4/2020;Tucumán;90;1
30/4/2020;Buenos Aires;6;112
30/4/2020;CABA;2;51
30/4/2020;Chaco;22;15
30/4/2020;Chubut;26;1
30/4/2020;Corrientes;18;1
30/4/2020;Córdoba;14;7
30/4/2020;Jujuy;38;1
30/4/2020;La Rioja;46;12
30/4/2020;Mendoza;50;6
30/4/2020;Misiones;54;5
30/4/2020;Río Negro;62;4
30/4/2020;SIN ESPECIFICAR;99;1
30/4/2020;San Luis;74;1
30/4/2020;Santa Fe;82;2
30/4/2020;Tierra del Fuego;94;3
30/4/2020;Tucumán;90;1
1/5/2020;Buenos Aires;6;43
1/5/2020;CABA;2;55
1/5/2020;Chaco;22;3
1/5/2020;Chubut;26;1
1/5/2020;Córdoba;14;14
1/5/2020;Entre Ríos;30;1
1/5/2020;Formosa;34;1
1/5/2020;Jujuy;38;1
1/5/2020;La Rioja;46;9
1/5/2020;Misiones;54;7
1/5/2020;Neuquén;58;1
1/5/2020;Río Negro;62;15
1/5/2020;Santa Fe;82;1
1/5/2020;Tierra del Fuego;94;2
2/5/2020;Buenos Aires;6;67
2/5/2020;CABA;2;51
2/5/2020;Chaco;22;9
2/5/2020;Córdoba;14;16
2/5/2020;Entre Ríos;30;1
2/5/2020;Jujuy;38;1
2/5/2020;La Rioja;46;1
2/5/2020;Mendoza;50;1
2/5/2020;Neuquén;58;1
2/5/2020;Río Negro;62;9
2/5/2020;SIN ESPECIFICAR;99;1
2/5/2020;Santa Fe;82;2
2/5/2020;Tierra del Fuego;94;5
3/5/2020;Buenos Aires;6;41
3/5/2020;CABA;2;44
3/5/2020;Chaco;22;11
3/5/2020;Córdoba;14;3
3/5/2020;Entre Ríos;30;2
3/5/2020;Jujuy;38;1
3/5/2020;La Rioja;46;4
3/5/2020;Mendoza;50;1
3/5/2020;Misiones;54;1
3/5/2020;Río Negro;62;4
3/5/2020;San Juan;70;2
3/5/2020;Santa Fe;82;2
3/5/2020;Tierra del Fuego;94;2
3/5/2020;Tucumán;90;3
4/5/2020;Buenos Aires;6;89
4/5/2020;CABA;2;72
4/5/2020;Chaco;22;6
4/5/2020;Corrientes;18;2
4/5/2020;Córdoba;14;7
4/5/2020;Jujuy;38;1
4/5/2020;La Pampa;42;1
4/5/2020;Mendoza;50;2
4/5/2020;Río Negro;62;7
4/5/2020;SIN ESPECIFICAR;99;1
4/5/2020;Santa Fe;82;3
4/5/2020;Santiago del Estero;86;1
4/5/2020;Tierra del Fuego;94;1
4/5/2020;Tucumán;90;2
5/5/2020;Buenos Aires;6;82
5/5/2020;CABA;2;105
5/5/2020;Chaco;22;11
5/5/2020;Córdoba;14;6
5/5/2020;Entre Ríos;30;1
5/5/2020;Jujuy;38;2
5/5/2020;La Rioja;46;4
5/5/2020;Mendoza;50;3
5/5/2020;Río Negro;62;6
5/5/2020;SIN ESPECIFICAR;99;5
5/5/2020;Tierra del Fuego;94;2
5/5/2020;Tucumán;90;2
6/5/2020;Buenos Aires;6;113
6/5/2020;CABA;2;109
6/5/2020;Chaco;22;34
6/5/2020;Corrientes;18;5
6/5/2020;Córdoba;14;10
6/5/2020;Jujuy;38;1
6/5/2020;La Rioja;46;5
6/5/2020;Mendoza;50;1
6/5/2020;Río Negro;62;5
6/5/2020;SIN ESPECIFICAR;99;6
6/5/2020;Salta;66;1
6/5/2020;San Juan;70;1
6/5/2020;Santa Fe;82;3
6/5/2020;Tucumán;90;1
7/5/2020;Buenos Aires;6;115
7/5/2020;CABA;2;164
7/5/2020;Chaco;22;24
7/5/2020;Corrientes;18;3
7/5/2020;Córdoba;14;11
7/5/2020;La Rioja;46;5
7/5/2020;Río Negro;62;5
7/5/2020;SIN ESPECIFICAR;99;1
7/5/2020;Santa Fe;82;1
7/5/2020;Tierra del Fuego;94;2
7/5/2020;Tucumán;90;1
8/5/2020;Buenos Aires;6;100
8/5/2020;CABA;2;142
8/5/2020;Chaco;22;29
8/5/2020;Corrientes;18;1
8/5/2020;Córdoba;14;6
8/5/2020;Entre Ríos;30;1
8/5/2020;La Rioja;46;4
8/5/2020;Misiones;54;1
8/5/2020;Río Negro;62;3
8/5/2020;SIN ESPECIFICAR;99;2
8/5/2020;San Juan;70;1
8/5/2020;Santa Fe;82;1
8/5/2020;Tierra del Fuego;94;1
8/5/2020;Tucumán;90;3
9/5/2020;Buenos Aires;6;62
9/5/2020;CABA;2;134
9/5/2020;Catamarca;10;1
9/5/2020;Chaco;22;14
9/5/2020;Corrientes;18;6
9/5/2020;Córdoba;14;10
9/5/2020;Jujuy;38;4
9/5/2020;La Rioja;46;24
9/5/2020;Mendoza;50;5
9/5/2020;Neuquén;58;2
9/5/2020;Río Negro;62;3
9/5/2020;SIN ESPECIFICAR;99;1
9/5/2020;Salta;66;1
9/5/2020;Santa Fe;82;3
9/5/2020;Santiago del Estero;86;1
9/5/2020;Tucumán;90;2
10/5/2020;Buenos Aires;6;56
10/5/2020;CABA;2;195
10/5/2020;Chaco;22;9
10/5/2020;Corrientes;18;1
10/5/2020;Córdoba;14;5
10/5/2020;Río Negro;62;1
10/5/2020;SIN ESPECIFICAR;99;1
10/5/2020;Tucumán;90;2
11/5/2020;Buenos Aires;6;140
11/5/2020;CABA;2;141
11/5/2020;Chaco;22;18
11/5/2020;Chubut;26;1
